vernacular,scientific,size,wingspan,order,family,map_url,image_url,audio_url
Foulque d'Amérique,Fulica americana,43 cm,60 à 70 cm.,Gruiformes,Rallidés,https://www.oiseaux.net/maps/images/foulque.d.amerique.200.w.jpg,"['https://www.oiseaux.net/photos/jean-michel.fenerole/images/foulque.d.amerique.jefe.3p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/foulque.d.amerique.jefe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/florent.lecourtier/images/foulque.d.amerique.flle.1p.152.h.jpg', 'https://www.oiseaux.net/photos/ricketdi/images/foulque.d.amerique.fori.1p.152.h.jpg', 'https://www.oiseaux.net/photos/ricketdi/images/foulque.d.amerique.fori.2p.152.h.jpg', 'https://www.oiseaux.net/photos/gerard.rolin/images/foulque.d.amerique.gero.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-claude.jamoulle/images/foulque.d.amerique.jcja.3p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-claude.jamoulle/images/foulque.d.amerique.jcja.4p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/foulque.d.amerique.rlcn.1p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/foulque.d.amerique.rlcn.2p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/foulque.d.amerique.rlcn.3p.152.h.jpg', 'https://www.oiseaux.net/photos/loic.epelboin/images/foulque.d.amerique.loep.1p.152.h.jpg']",https://www.oiseaux.net/chant/manuel.grosselet/foulque.d.amerique.818089.mp3
Fauvette naine,Curruca nana,11 cm,-,Passériformes,Sylviidés,,"['https://www.oiseaux.net/photos/frederic.pelsy/images/id/fauvette.naine.frpe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/id/fauvette.naine.frpe.5p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/id/fauvette.naine.lape.4p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/id/fauvette.naine.frpe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/id/fauvette.naine.lape.5p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/id/fauvette.naine.roba.2p.152.h.jpg', 'https://www.oiseaux.net/photos/yael.shiff/images/id/fauvette.naine.yash.2p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.michel/images/fauvette.naine.hemi.4p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/fauvette.naine.stan.2p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/fauvette.naine.stan.1p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.michel/images/fauvette.naine.hemi.3p.152.h.jpg', 'https://www.oiseaux.net/photos/catherine.et.bernard.lanneluc/images/fauvette.naine.cala.1p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.michel/images/fauvette.naine.hemi.5p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/fauvette.naine.roba.3p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/fauvette.naine.roba.1p.152.h.jpg', 'https://www.oiseaux.net/photos/paul.van.giersbergen/images/fauvette.naine.pava.1p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.michel/images/fauvette.naine.hemi.2p.152.h.jpg']",
Pipit de la Petchora,Anthus gustavi,14 cm,-,Passériformes,Motacillidés,,"['https://www.oiseaux.net/photos/aurelien.audevard/images/id/pipit.de.la.petchora.auau.2p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/pipit.de.la.petchora.mafa.2p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/pipit.de.la.petchora.mafa.3p.152.h.jpg', 'https://www.oiseaux.net/photos/aurelien.audevard/images/pipit.de.la.petchora.auau.3p.152.h.jpg', 'https://www.oiseaux.net/photos/corentin.morvan/images/pipit.de.la.petchora.como.1p.152.h.jpg']",https://www.oiseaux.net/chant/stanislas.wroza/pipit.de.la.petchora.767047.mp3
Pipit de Richard,Anthus richardi,18 cm,29 à 33 cm.,Passériformes,Motacillidés,https://www.oiseaux.net/maps/images/pipit.de.richard.200.w.jpg,"['https://www.oiseaux.net/photos/paul.van.giersbergen/images/id/pipit.de.richard.pava.1p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/id/pipit.de.richard.mafa.8p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/id/pipit.de.richard.mafa.1p.152.h.jpg', 'https://www.oiseaux.net/photos/pascale.becue/images/id/pipit.de.richard.pbec.3p.152.h.jpg', 'https://www.oiseaux.net/photos/arnaud.delberghe/images/id/pipit.de.richard.adel.1p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/id/pipit.de.richard.roba.1p.152.h.jpg', 'https://www.oiseaux.net/photos/vincent.palomares/images/pipit.de.richard.vipa.2p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/pipit.de.richard.mafa.4p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-claude.jamoulle/images/pipit.de.richard.jcja.2p.152.h.jpg', 'https://www.oiseaux.net/photos/vincent.palomares/images/pipit.de.richard.vipa.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/pipit.de.richard.stme.1p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/pipit.de.richard.mafa.2p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/pipit.de.richard.mafa.3p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/pipit.de.richard.mafa.6p.152.h.jpg']",https://www.oiseaux.net/chant/stanislas.wroza/pipit.de.richard.688501.mp3
Sittelle torchepot,Sitta europaea,14 cm,-,Passériformes,Sittidés,https://www.oiseaux.net/maps/images/sittelle.torchepot.200.w.jpg,"['https://www.oiseaux.net/photos/rene.dumoulin/images/id/sittelle.torchepot.redu.14p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/id/sittelle.torchepot.mafa.39p.152.h.jpg', 'https://www.oiseaux.net/photos/yann.cambon/images/id/sittelle.torchepot.yaca.7p.152.h.jpg', 'https://www.oiseaux.net/photos/gerard.fauvet/images/id/sittelle.torchepot.gefa.6p.152.h.jpg', 'https://www.oiseaux.net/photos/rene.dumoulin/images/id/sittelle.torchepot.redu.3p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/sittelle.torchepot.dico.6p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/sittelle.torchepot.dico.3p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/sittelle.torchepot.dico.1p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/sittelle.torchepot.dico.2p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/sittelle.torchepot.dico.4p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/sittelle.torchepot.dico.5p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/sittelle.torchepot.dico.7p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/sittelle.torchepot.dico.8p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.bats/images/sittelle.torchepot.diba.1p.152.h.jpg', 'https://www.oiseaux.net/photos/dan.stefanescu/images/sittelle.torchepot.dast.1p.152.h.jpg', 'https://www.oiseaux.net/photos/gilbert.blaising/images/sittelle.torchepot.gibl.2p.152.h.jpg', 'https://www.oiseaux.net/photos/gilbert.blaising/images/sittelle.torchepot.gibl.5p.152.h.jpg', 'https://www.oiseaux.net/photos/claude.daussin/images/sittelle.torchepot.clda.1p.152.h.jpg']",https://www.oiseaux.net/chant/didier.collin/sittelle.torchepot.4.mp3
Pélican gris,Pelecanus rufescens,132 cm,216 à 290 cm.,Pélécaniformes,Pélécanidés,,"['https://www.oiseaux.net/photos/gerard.vigo/images/id/pelican.gris.gevi.1p.152.h.jpg', 'https://www.oiseaux.net/photos/corentin.kermarrec/images/id/pelican.gris.coke.3p.152.h.jpg', 'https://www.oiseaux.net/photos/samuel.marlin/images/id/pelican.gris.sama.2p.152.h.jpg', 'https://www.oiseaux.net/photos/francois.granja/images/id/pelican.gris.frgr.1p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/id/pelican.gris.roba.1p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.et.fabienne.vernaudon/images/id/pelican.gris.mver.3p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/id/pelican.gris.roba.2p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.steinmetz/images/id/pelican.gris.mast.2p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/pelican.gris.anco.3p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/pelican.gris.anco.1p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/pelican.gris.anco.2p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/pelican.gris.dogo.4p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/pelican.gris.stme.1p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/pelican.gris.dogo.6p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/pelican.gris.dogo.7p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/pelican.gris.dogo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/dietmar.petrausch/images/pelican.gris.dpet.1p.152.h.jpg']",
Rousserolle stentor,Acrocephalus stentoreus,20 cm,21 à 24 cm.,Passériformes,Acrocephalidés,,"['https://www.oiseaux.net/photos/florent.lecourtier/images/rousserolle.stentor.flle.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/rousserolle.stentor.stme.2p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.l.hoir/images/rousserolle.stentor.palh.3p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.l.hoir/images/rousserolle.stentor.palh.1p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/rousserolle.stentor.frpe.3p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/rousserolle.stentor.roba.1p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/rousserolle.stentor.frpe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.ingremeau/images/rousserolle.stentor.pain.1p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.ingremeau/images/rousserolle.stentor.pain.2p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.ingremeau/images/rousserolle.stentor.pain.3p.152.h.jpg', 'https://www.oiseaux.net/photos/samuel.marlin/images/rousserolle.stentor.sama.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/rousserolle.stentor.stme.1p.152.h.jpg', 'https://www.oiseaux.net/photos/paul.van.giersbergen/images/rousserolle.stentor.pava.2p.152.h.jpg', 'https://www.oiseaux.net/photos/aurelien.audevard/images/rousserolle.stentor.auau.4p.152.h.jpg']",https://www.oiseaux.net/chant/manuel.grosselet/rousserolle.stentor.466122.mp3
Pouillot à deux barres,Phylloscopus plumbeitarsus,12 cm,-,Passériformes,Phylloscopidés,,"['https://www.oiseaux.net/photos/didier.buysse/images/pouillot.a.deux.barres.dibu.1p.152.h.jpg', 'https://www.oiseaux.net/photos/paul.van.giersbergen/images/pouillot.a.deux.barres.pava.1p.152.h.jpg']",https://www.oiseaux.net/chant/stanislas.wroza/pouillot.a.deux.barres.485945.mp3
Choucador à oreillons bleus,Lamprotornis chalybaeus,24 cm,-,Passériformes,Sturnidés,,"['https://www.oiseaux.net/photos/antoine.coulondre/images/choucador.a.oreillons.bleus.anco.3p.152.h.jpg', 'https://www.oiseaux.net/photos/dietmar.petrausch/images/choucador.a.oreillons.bleus.dpet.2p.152.h.jpg', 'https://www.oiseaux.net/photos/dietmar.petrausch/images/choucador.a.oreillons.bleus.dpet.1p.152.h.jpg', 'https://www.oiseaux.net/photos/marine.drouilly/images/choucador.a.oreillons.bleus.madr.1p.152.h.jpg', 'https://www.oiseaux.net/photos/catherine.et.bernard.lanneluc/images/choucador.a.oreillons.bleus.cala.24p.152.h.jpg', 'https://www.oiseaux.net/photos/catherine.et.bernard.lanneluc/images/choucador.a.oreillons.bleus.cala.25p.152.h.jpg', 'https://www.oiseaux.net/photos/catherine.et.bernard.lanneluc/images/choucador.a.oreillons.bleus.cala.3p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.rabosee/images/choucador.a.oreillons.bleus.dira.1p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/choucador.a.oreillons.bleus.dogo.3p.152.h.jpg', 'https://www.oiseaux.net/photos/florent.lecourtier/images/choucador.a.oreillons.bleus.flle.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/choucador.a.oreillons.bleus.stan.2p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/choucador.a.oreillons.bleus.stan.1p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.michel/images/choucador.a.oreillons.bleus.hemi.3p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/choucador.a.oreillons.bleus.syur.1p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/choucador.a.oreillons.bleus.syur.2p.152.h.jpg']",https://www.oiseaux.net/chant/franck.bruneliere/choucador.a.oreillons.bleus.1.mp3
Fauvette orphéane,Curruca crassirostris,cm,-,Passériformes,Sylviidés,,"['https://www.oiseaux.net/photos/herve.michel/images/id/fauvette.orpheane.hemi.1p.152.h.jpg', 'https://www.oiseaux.net/photos/arpit.deomurari/images/id/fauvette.orpheane.arde.2p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.michel/images/id/fauvette.orpheane.hemi.2p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/id/fauvette.orpheane.frpe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/id/fauvette.orpheane.frpe.3p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.carre/images/id/fauvette.orpheane.mica.1p.152.h.jpg', 'https://www.oiseaux.net/photos/ghislain.riou/images/id/fauvette.orpheane.ghri.1p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/fauvette.orpheane.dico.1p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/fauvette.orpheane.dico.2p.152.h.jpg', 'https://www.oiseaux.net/photos/nick.smith/images/fauvette.orpheane.nism.1p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.l.hoir/images/fauvette.orpheane.palh.1p.152.h.jpg', 'https://www.oiseaux.net/photos/vincent.palomares/images/fauvette.orpheane.vipa.1p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/fauvette.orpheane.mafa.1p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.moschovis/images/fauvette.orpheane.mimo.5p.152.h.jpg', 'https://www.oiseaux.net/photos/dora.zarzavatsaki/images/fauvette.orpheane.doza.1p.152.h.jpg', 'https://www.oiseaux.net/photos/dora.zarzavatsaki/images/fauvette.orpheane.doza.2p.152.h.jpg', 'https://www.oiseaux.net/photos/arpit.deomurari/images/fauvette.orpheane.arde.1p.152.h.jpg']",https://www.oiseaux.net/chant/fernand.deroussen/fauvette.orpheane.140054.mp3
